ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Estimates Start After
BHS,The Bahamas,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",12.231,11.046,6.101,4,3.966,4.624,5.414,5.994,4.051,5.405,4.628,7.03,5.773,2.742,1.381,2.13,1.421,0.536,1.411,1.213,1.655,2.362,1.498,2.698,1.252,2.111,2.084,2.524,4.66,1.936,1.342,3.204,2013
BHR,Bahrain,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",3.8,11.4,8.7,3.2,0,-2.4,-2.5,-1.7,0.2,1.2,-0.91,0.899,-0.302,2.599,3.999,3.139,-0.185,4.602,-0.418,-1.259,-0.73,-1.175,-0.496,1.679,2.248,2.618,2.041,3.252,3.533,2.785,1.97,-0.415,2014
BGD,Bangladesh,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",0,14.545,12.875,9.531,10.414,10.465,10.175,10.828,9.674,8.734,10.522,8.285,3.624,2.979,6.15,10.117,2.455,4.959,8.648,6.179,2.483,1.908,3.719,5.361,6.103,7.04,6.77,9.109,8.9,4.914,9.365,11.464,2014
BRB,Barbados,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",18.498,14.589,10.287,5.275,4.648,4.858,0.199,3.567,4.719,6.334,3.036,6.3,5.996,1.184,0.7,1.87,2.402,7.67,-1.23,1.525,0.834,2.579,0.393,1.566,1.43,6.054,7.34,4.016,8.105,3.718,5.748,9.426,2014
BLR,Belarus,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,190.32","2,220.90",709.297,52.688,63.82,73.018,293.733,168.601,61.133,42.568,28.398,18.094,10.336,6.992,8.429,14.828,12.95,7.743,53.228,2014
BEL,Belgium,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",6.656,7.626,8.723,7.663,6.348,4.868,1.296,1.554,1.162,3.105,3.453,3.167,2.259,2.484,2.393,1.269,1.776,1.497,0.912,1.13,2.678,2.437,1.553,1.508,1.86,2.534,2.335,1.815,4.492,-0.009,2.332,3.355,2014
BLZ,Belize,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",7.051,11.224,6.839,4.996,3.383,4.153,0.794,2.021,5.321,0,2.058,3.245,2.358,1.491,2.569,2.89,6.425,1.026,-0.847,-1.207,0.614,1.149,2.195,2.621,3.067,3.651,4.24,2.318,6.394,-1.104,0.918,1.695,2013
BEN,Benin,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",9.596,0.795,4.059,-6.067,10.265,1.151,0.414,-1.339,3.445,-0.202,1.112,2.1,5.9,0.445,38.535,14.458,4.917,3.803,5.755,0.35,4.202,3.981,2.422,1.507,0.883,5.364,3.787,1.294,7.403,0.899,2.179,2.736,2013
BTN,Bhutan,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",12.504,4.967,9.918,14.156,12.074,4.368,5.952,8.075,8.284,9.4,9.415,11.195,5.4,13.575,5.907,8.196,9.318,7.85,7.35,10.65,4.05,4,2.927,2.068,4.243,4.822,4.93,5.246,6.3,7.127,4.826,8.552,2013
BOL,Bolivia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",47.059,32.134,123.555,275.579,"1,281.35","11,749.63",273.35,14.579,16.002,15.174,17.12,21.444,12.958,8.526,7.875,10.192,12.43,4.709,7.674,2.161,4.601,1.596,0.923,3.338,4.437,5.4,4.3,6.656,14.009,3.346,2.502,9.883,2014
BIH,Bosnia and Herzegovina,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.841,4.973,4.573,0.313,0.547,0.282,3.582,6.128,1.492,7.434,-0.381,2.123,3.675,2013
BWA,Botswana,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",12.127,16.3,11.2,10.5,8.6,8.1,10,9.8,8.4,11.6,11.4,12.6,16.5,14.4,10.6,10.5,10.1,8.9,6.51,7.816,8.534,6.565,8.026,9.185,6.988,8.61,11.553,7.077,12.623,8.108,6.95,8.464,2013
BRA,Brazil,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",90.227,101.725,100.543,135.028,192.122,225.989,147.143,228.336,629.115,"1,430.72","2,947.73",477.387,"1,022.45","1,927.38","2,075.83",66.008,15.757,6.926,3.196,4.859,7.044,6.84,8.45,14.714,6.598,6.87,4.184,3.641,5.678,4.888,5.039,6.636,2014
BRN,Brunei Darussalam,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,1.166,3.098,2.3,1.776,1.275,1.193,1.31,2.133,1.583,1.259,4.288,2.448,5.972,1.965,1.705,-0.424,-0.008,1.174,0.603,-2.288,0.3,0.897,1.087,0.154,0.966,2.085,1.043,0.216,0.142,2013
BGR,Bulgaria,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",--,0.002,2.8,2.8,2.8,2.8,2.7,2.7,2.5,6.404,23.9,333.5,82,72.804,96,62.1,123,"1,061.21",18.671,2.573,10.317,7.365,5.807,2.348,6.149,6.041,7.418,7.571,11.95,2.472,3.036,3.389,2014
BFA,Burkina Faso,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",12.259,7.556,12.058,8.346,4.847,7.054,-2.7,-2.85,4.191,-0.322,-0.807,2.502,-1.991,0.614,24.72,7.772,6.109,2.929,4.972,-1.138,-0.137,4.727,2.3,2.04,-0.4,6.409,2.336,-0.233,10.668,0.864,-0.608,2.769,2014
BDI,Burundi,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",1.2,12.178,5.854,8.158,14.301,3.821,1.668,7.108,4.49,11.667,6.991,9.011,5.328,9.714,14.713,19.361,26.416,31.122,12.527,3.375,24.306,7.868,-1.258,10.574,8.177,13.253,2.744,8.412,24.407,10.557,6.496,9.583,2012
CPV,Cabo Verde,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",15.071,20.68,21.127,20.155,9.677,5.882,11.111,3.75,3.614,4.651,11.111,7.587,13.429,5.828,3.344,8.41,6.01,8.574,4.399,4.348,-2.429,3.674,1.918,1.188,-1.891,0.434,4.842,4.394,6.793,0.99,2.079,4.474,2014
KHM,Cambodia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,-31.248,23,63.8,141.8,191,75,114.319,10.44,10.077,7.147,10.503,12.899,1.996,-0.826,-0.117,-0.036,1.027,3.925,6.349,6.143,7.668,24.997,-0.663,3.997,5.478,2013
CMR,Cameroon,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",7.697,7.53,15.33,20.51,12.1,4.2,4.3,2.8,1.7,1.6,1.5,-0.6,1.89,-3.72,12.66,25.8,3.6,4.1,3.9,2.9,0.8,4.45,2.817,0.63,0.25,1.993,4.906,1.125,5.338,3.04,1.279,2.94,2013
CAN,Canada,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",10.183,12.462,10.803,5.816,4.339,3.951,4.174,4.365,4.061,4.957,4.765,5.615,1.493,1.865,0.136,2.189,1.58,1.612,0.987,1.744,2.738,2.507,2.276,2.742,1.841,2.23,2.018,2.131,2.385,0.299,1.769,2.89,2014
CAF,Central African Republic,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",13.3,14.66,13.243,14.558,2.604,10.457,2.411,-6.986,-3.934,0.645,-0.203,-2.848,-0.757,-2.909,24.55,19.2,3.723,1.597,-1.871,-1.415,3.202,3.843,2.298,4.353,-2.244,2.885,6.694,0.935,9.262,3.522,1.491,1.195,2014
TCD,Chad,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",8.635,8.128,6.429,7.875,20.3,5.071,-13.054,-2.73,14.9,-4.9,0.5,4.2,-3.8,-10.874,41.272,5.364,11.331,5.572,4.259,-8.447,3.823,12.431,5.192,-1.753,-4.803,3.675,7.707,-7.44,8.337,10.103,-2.123,1.891,2013
CHL,Chile,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",35.138,19.687,9.941,27.257,19.86,30.703,19.477,19.881,14.684,17.028,26.036,21.784,15.426,12.728,11.443,8.233,7.359,6.134,5.11,3.337,3.843,3.569,2.489,2.81,1.055,3.052,3.392,4.408,8.716,1.484,1.411,3.34,2014
CHN,China,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.1,3.4,6.4,14.7,24.1,17.1,8.3,2.8,-0.8,-1.4,0.4,0.7,-0.8,1.2,3.9,1.8,1.5,4.8,5.9,-0.7,3.3,5.4,2014
COL,Colombia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",25.932,27.454,24.665,19.696,16.156,24.05,18.842,23.302,28.126,25.878,29.124,30.354,27.031,22.455,22.846,20.892,20.798,18.47,18.677,10.874,9.225,7.966,6.352,7.13,5.904,5.051,4.293,5.544,6.997,4.203,2.272,3.415,2014
COM,Comoros,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",13.329,6.5,15.211,9.21,6.055,8.382,-11.289,3.3,0.29,4.44,-7.39,1.7,-1.4,2,23.762,3.15,2.4,1.5,1.2,1.1,5.9,5.571,3.578,3.713,4.496,3.007,3.389,4.486,4.816,4.789,3.899,2.231,2013
COD,Democratic Republic of the Congo,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",40.039,34.884,37.069,76.73,52.63,23.46,46.73,90.37,82.749,104.065,81.295,"2,154.44","4,129.17","1,986.90","23,773.10",541.801,617,199,29.145,284.9,550,357.28,25.316,12.817,4.001,21.394,13.211,16.713,17.966,46.221,23.464,15.538,2014
COG,Republic of Congo,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",7.296,0.782,3.454,3.471,3.488,3.505,3.521,3.537,-13.013,-9.582,0.343,9.358,-3.162,-4.1,46.402,6.328,7.375,12.688,2.236,3.013,0.509,0.844,2.985,1.69,3.67,2.466,4.658,2.595,6.02,4.339,5,1.76,2013
CRI,Costa Rica,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",18.121,37.07,90.122,32.612,11.959,15.046,11.836,16.852,20.826,16.506,19.039,28.713,21.788,9.781,13.534,23.186,17.512,13.248,11.66,10.045,10.961,11.255,9.167,9.449,12.312,13.8,11.469,9.359,13.422,7.844,5.663,4.878,2013
CIV,Côte d'Ivoire,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",8.81,8.682,7.389,5.879,4.281,1.753,6.837,6.978,6.935,0.986,-0.658,1.575,4.218,2.13,25.956,14.1,2.7,6.301,5.219,0.92,-0.381,4.355,3.08,3.297,1.459,3.884,2.466,1.896,6.315,1.009,1.366,4.895,2014
HRV,Croatia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,517.29",97.5,1.967,3.642,3.709,6.71,4.015,4.628,3.763,1.675,1.772,2.028,3.341,3.21,2.874,6.066,2.377,1.047,2.262,2014
CYP,Cyprus,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",13.518,10.745,6.433,5.05,5.992,5.034,1.218,2.679,3.433,3.766,4.503,5.04,6.501,4.889,4.66,2.612,2.582,3.315,2.34,1.137,4.864,1.98,2.79,3.965,1.891,2.043,2.252,2.171,4.385,0.18,2.562,3.482,2014
CZE,Czech Republic,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.767,8.594,10.702,2.103,3.801,4.677,1.878,0.114,2.775,1.843,2.543,2.862,6.339,1.033,1.464,1.929,2014
DNK,Denmark,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",10.723,11.296,10.386,6.144,6.03,4.699,0.69,3.124,5.01,5.259,3.141,2.626,2.091,1.434,1.635,1.93,1.977,2.212,1.434,2.133,3.155,2.35,2.426,2.091,1.16,1.809,1.89,1.714,3.399,1.326,2.298,2.757,2014
DJI,Djibouti,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.371,4.438,6.505,4.886,3.513,2.52,2.205,-0.401,2.002,1.76,0.633,1.968,3.118,3.112,3.469,4.97,11.957,1.674,3.954,5.074,2014
DMA,Dominica,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",23.855,13.267,4.415,4.228,2.13,2.085,3.016,4.816,2.252,7.665,3.194,5.556,5.256,1.568,-0.012,1.293,1.701,2.415,0.956,1.236,0.848,1.556,0.17,1.453,2.394,1.682,2.593,3.238,6.36,0.006,2.811,1.061,2013
DOM,Dominican Republic,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",21.664,7.523,7.643,5.629,20.152,45.336,7.639,13.551,43.864,40.658,50.463,47.079,4.259,5.25,8.261,12.536,5.399,8.297,4.832,6.471,7.723,8.884,5.223,27.45,51.461,4.19,7.573,6.144,10.644,1.442,6.33,8.459,2014
ECU,Ecuador,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",13.049,16.387,16.258,48.434,31.23,27.983,23.03,29.504,58.216,75.648,48.519,48.804,54.341,45,27.443,22.886,24.4,30.6,36.1,52.2,96.1,37.7,12.6,7.929,2.741,2.171,3.296,2.281,8.398,5.16,3.552,4.475,2014
EGY,Egypt,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",20.5,10.4,14.9,15.982,17.06,12.108,23.9,25.185,15.185,20.129,21.219,14.737,21.142,11.042,9.046,9.361,7.095,6.167,5.041,3.745,2.849,2.431,3.21,0,8.106,8.826,4.202,10.959,11.698,16.24,11.69,11.09,2014
SLV,El Salvador,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",17.359,14.818,11.703,13.121,11.705,22.318,31.945,24.849,19.772,17.651,28.294,14.403,11.221,22.62,7.173,9.725,9.789,4.416,2.62,0.515,2.274,3.745,1.869,2.121,4.452,4.69,4.035,4.58,7.258,0.537,1.179,5.129,2013
GNQ,Equatorial Guinea,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",--,16.7,38.256,60.058,59.518,83.999,-17.64,-13.174,2.524,6.064,0.922,-3.425,-4.279,5.452,31.841,19.872,4.541,3.017,7.936,0.372,4.836,8.739,7.582,7.324,4.237,5.637,4.465,2.798,4.652,5.737,5.32,4.799,2013
ERI,Eritrea,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.787,13.147,11.983,10.288,3.739,9.467,8.397,19.947,14.625,16.877,22.669,25.111,12.506,15.064,9.304,19.943,33,12.709,13.343,2009
EST,Estonia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,47.656,29.003,23.058,11.182,8.207,3.306,4.011,5.625,3.591,1.387,3.03,4.114,4.445,6.744,10.606,0.198,2.742,5.08,2013
ETH,Ethiopia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",12.437,1.937,7.774,3.569,-0.334,18.403,5.55,-9.146,2.206,9.633,5.206,20.869,21.019,9.99,1.166,13.354,0.919,-6.42,3.6,4.772,6.159,-8.238,1.654,17.762,3.221,11.656,13.558,17.245,44.371,8.479,8.134,33.232,2014
FJI,Fiji,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",14.464,11.2,7.014,6.807,5.271,4.41,1.79,5.664,11.758,6.189,8.191,6.497,4.883,5.207,0.8,2.183,3.01,3.393,5.743,1.983,1.099,4.264,0.722,4.22,2.827,2.303,2.525,4.811,7.726,3.655,3.689,7.282,2013
FIN,Finland,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",11.602,12,9.3,8.4,7,5.82,2.9,4.082,5.135,6.572,4.957,4.163,2.866,2.199,1.076,1,1.069,1.219,1.351,1.316,2.948,2.665,2.01,1.303,0.14,0.771,1.275,1.584,3.914,1.635,1.686,3.324,2014
FRA,France,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",13.057,13.333,11.978,9.46,7.674,5.831,2.539,3.289,2.701,6.569,0.323,3.4,2.458,2.234,1.662,1.769,2.1,1.282,0.669,0.565,1.828,1.783,1.939,2.168,2.338,1.899,1.915,1.608,3.161,0.103,1.734,2.29,2014
GAB,Gabon,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",12.321,8.6,16.7,10.4,5.9,7.3,6.4,-1,-9.8,6.903,15.369,-9.83,-9.543,0.534,36.116,9.647,0.69,3.973,1.449,-1.935,0.504,2.136,0.164,2.105,0.408,1.171,-1.406,-1.021,5.263,1.885,1.447,1.262,2014
GMB,The Gambia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",5.019,7.92,8.235,10.645,22.106,18.32,56.556,23.712,11.549,8.255,12.168,8.642,9.484,6.466,1.71,6.981,1.099,2.781,1.114,3.807,0.851,4.492,8.61,17.032,14.287,4.959,2.056,5.37,4.451,4.554,5.049,4.796,2013
GEO,Georgia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,162.718,39.329,6.988,3.552,19.128,4.04,4.688,5.579,4.785,5.656,8.247,9.161,9.245,9.999,1.728,7.111,8.543,2014
DEU,Germany,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",5.447,6.324,5.256,3.284,2.396,2.084,-0.125,0.242,1.274,2.778,2.687,3.474,5.046,4.476,2.717,1.733,1.19,1.542,0.593,0.626,1.418,1.904,1.346,1.022,1.799,1.92,1.784,2.285,2.746,0.218,1.158,2.49,2014
GHA,Ghana,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",50.005,116.504,22.485,122.245,40.03,10.301,24.539,39.758,31.369,25.237,37.241,18.097,10.049,24.942,24.874,59.317,44.487,24.825,19.208,12.471,25.113,32.932,14.846,26.626,12.666,15.095,11.683,10.729,16.505,13.139,6.698,7.676,2013
GRC,Greece,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",24.668,24.353,21.42,19.859,18.419,19.531,23.113,16.361,13.48,13.706,20.347,19.498,15.869,14.352,10.881,8.976,8.209,5.535,4.768,2.63,3.151,3.374,3.63,3.531,2.899,3.545,3.196,2.895,4.153,1.21,4.713,3.33,2014
GRD,Grenada,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",21.821,18.787,7.813,6.095,5.66,2.501,0.557,-0.872,4,5.593,2.724,2.645,3.778,2.809,2.604,3.027,2.032,-0.441,1.405,0.574,2.142,1.674,1.067,2.155,2.313,3.476,4.252,3.859,8.033,-0.309,3.437,3.033,2013
GTM,Guatemala,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",10.667,11.4,4.898,6.719,3.208,19.176,32.78,10.848,10.295,12.988,37.977,35.113,10.241,13.363,12.507,8.411,11.057,9.233,6.613,5.214,5.978,7.284,8.136,5.602,7.579,9.107,6.562,6.822,11.355,1.86,3.86,6.215,2013
GIN,Guinea,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",39.985,35,29.915,30.263,26.01,19.038,64.7,36.89,27.291,28.256,25.694,19.682,16.559,7.135,4.22,5.554,2.986,1.937,5.103,4.554,6.766,5.377,2.96,11.036,17.463,31.358,34.702,22.861,18.367,4.682,15.466,21.351,2014
GNB,Guinea-Bissau,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",64.762,41.94,16.542,23.309,64.855,112.71,26.548,119.585,60.309,80.788,33.001,57.599,69.444,48.227,15.176,45.365,50.733,49.065,8.014,-2.1,8.61,3.252,3.302,-3.474,0.821,3.246,0.713,4.627,10.445,-1.637,1.071,5.055,2011
GUY,Guyana,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",14.088,22.235,20.607,15.288,25.139,15.031,7.9,28.7,39.9,89.5,64.3,103.1,26.7,8.4,12.4,12.222,7.092,3.556,4.568,7.533,6.112,2.648,5.36,5.979,4.67,6.925,6.677,12.2,8.102,2.952,4.302,4.408,2012
HTI,Haiti,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",19.079,10.858,7.359,10.244,6.402,10.649,3.28,-11.449,4.105,6.924,21.276,15.42,19.358,22.556,42.557,30.2,20.584,16.177,12.722,8.126,11.459,16.492,9.345,26.734,28.316,16.762,14.21,8.958,14.381,3.429,4.136,7.385,2013
HND,Honduras,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",18.074,9.406,9.023,8.213,4.726,3.363,4.353,2.487,4.491,9.85,23.323,33.949,8.741,10.775,21.769,29.432,23.845,20.2,13.668,11.664,11.047,9.675,7.691,7.674,8.114,8.809,5.578,6.936,11.403,5.496,4.699,6.762,2013
HKG,Hong Kong SAR,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",4.444,9.479,11.019,9.977,8.556,3.563,3.503,5.721,7.851,10.194,10.277,11.239,9.554,8.84,8.802,9.037,6.311,5.832,2.825,-3.953,-3.725,-1.615,-3.055,-2.572,-0.372,0.905,2.025,2.021,4.273,0.588,2.312,5.281,2014
HUN,Hungary,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",9.286,4.511,7.016,6.403,8.651,7.007,5.292,8.682,15.788,16.95,28.97,34.234,22.95,22.451,18.866,28.303,23.428,18.314,14.175,10.031,9.781,9.156,5.262,4.648,6.78,3.551,3.878,7.935,6.066,4.209,4.881,3.957,2013
ISL,Iceland,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",58.548,50.864,51.019,84.275,29.17,32.376,21.273,18.763,25.456,21.128,15.51,6.808,3.959,4.083,1.552,1.654,2.254,1.791,1.704,3.222,5.119,6.395,5.174,2.065,3.151,4,6.676,5.064,12.678,12.003,5.396,4.001,2013
