New Case? ,Case,Country / Case,Code,Date,Debt Restructured   (m US$),Preferred Haircut HSZ,Underlying Discount             Rate ,Market Haircut        HM,Face Value Reduction (in %) ,Bond Exchange,Reduct. in Face Value,Buy Back Deal,Brady Deal,Donor Funded ,All Fallen Due,Affects PRD,New Money Incl.,Short-Term Debt Incl.,Data Quality Index
,76,Jordan,JOR,1993-12-01,1289,0.546,0.126,0.546,0.287083,0,1,0,1,0,1,1,0,0,3
,77,Kenya,KEN,1998-06-01,91,0.457,0.108,0.457,0.2307692,0,1,0,0,0,1,0,0,0,4
,78,Liberia,LBR,1982-12-01,30,0.357,0.362,0.437,0,0,0,0,0,0,0,0,0,0,2
yes,79,Liberia,LBR,2009-04-01,1277.8,0.97,none (buy back),0.97,0.97,0,1,1,0,1,1,1,0,0,3
,80,"Macedonia, FYR",MKD,1997-03-01,228.7,0.346,0.141,0.481,0,0,0,0,0,0,0,1,0,0,5
,81,Madagascar,MDG,1981-11-01,147,0.19,0.286,0.19,0,0,0,0,0,0,1,0,0,0,3
,82,Madagascar,MDG,1984-10-01,195,0.413,0.303,0.413,0,0,0,0,0,0,1,0,0,1,3
,83,Madagascar,MDG,1987-06-01,60,0.137,0.228,0.324,0,0,0,0,0,0,0,1,0,0,4
,84,Madagascar,MDG,1990-04-01,49,0.527,0.365,0.613,0,0,0,0,0,0,0,1,0,0,3
,85,Malawi,MWI,1983-03-01,57,0.285,0.237,0.318,0,0,0,0,0,0,0,0,0,0,3
,86,Malawi,MWI,1988-10-01,35,0.392,0.223,0.392,0,0,0,0,0,0,1,0,0,0,3
,87,Mauritania,MRT,1996-08-01,53,0.9,none (buy back),0.9,0.9,0,1,1,0,1,1,0,0,0,3
,88,Mexico,MEX,1983-08-01,18800,-0.002,0.136,-0.003,0,0,0,0,0,0,0,0,1,1,3
,90,Mexico,MEX,1985-08-01,20100,0.074812,0.128,0.08,0,0,0,0,0,0,0,1,0,0,3
,91,Mexico,MEX,1987-03-01,52300,0.181,0.128,0.289,0,0,0,0,0,0,0,1,1,0,3
,92,Mexico,MEX,1988-03-01,3671,0.563,0.142,0.563,0.3,0,1,0,0,0,1,0,0,0,3
,93,Mexico,MEX,1990-02-01,54300,0.305,0.144,0.437,0.1308471,0,1,0,1,0,0,1,0,0,4
,94,Moldova (Eurobonds),MDA,2002-10-01,39.7,0.369,0.193,0.369,0,1,0,0,0,0,1,0,0,0,5
,95,Moldova (Gazprom debt),MDA,2004-06-01,114.5,0.563,0.1,0.563,0.5633188,0,1,1,0,0,1,0,0,0,5
,96,Morocco,MAR,1986-02-01,538,0.235,0.17,0.235,0,0,0,0,0,0,1,0,0,1,3
,97,Morocco,MAR,1987-09-01,2444,0.213,0.163,0.213,0,0,0,0,0,0,1,1,0,0,2
,98,Morocco,MAR,1990-09-01,3200,0.403,0.18,0.403,0,0,0,0,0,0,1,1,0,0,2
,99,Mozambique,MOZ,1991-12-01,124,0.9,none (buy back),0.9,0.9,0,1,1,0,1,1,0,0,0,2
yes,100,Mozambique,MOZ,2007-09-01,153.2,0.91,none (buy back),0.91,0.91,0,1,1,0,1,1,0,0,0,3
,101,Nicaragua,NIC,1980-12-01,582,0.261,0.257,0.261,0,0,0,0,0,0,1,0,0,1,2
,102,Nicaragua,NIC,1981-12-01,192,0.485,0.336,0.485,0,0,0,0,0,0,1,0,0,1,2
,103,Nicaragua,NIC,1982-03-01,100,0.563,0.412,0.563,0,0,0,0,0,0,1,0,0,1,2
,104,Nicaragua,NIC,1984-02-01,145,0.417,0.343,0.417,0,0,0,0,0,0,1,1,0,0,2
,105,Nicaragua,NIC,1995-11-01,1100,0.92,none (buy back),0.92,0.92,0,1,1,0,1,1,0,0,0,3
yes,106,Nicaragua,NIC,2007-12-01,1400,0.955,none (buy back),0.955,0.955,0,1,1,0,1,1,0,0,0,3
,107,Niger,NER,1984-03-01,27,0.374,0.32,0.434,0,0,0,0,0,0,0,0,0,0,2
,108,Niger,NER,1986-04-01,52,0.458,0.308,0.581,0,0,0,0,0,0,0,0,0,0,2
,109,Niger,NER,1991-03-01,111,0.82,none (buy back),0.82,0.82,0,1,1,0,1,1,0,0,0,2
,111,Nigeria,NGA,1983-09-01,585,0.032748,0.135,0.021,0,0,0,0,0,0,1,0,0,0,2
,112,Nigeria,NGA,1984-04-01,925,-0.028,0.133,-0.028,0,0,0,0,0,0,1,0,0,0,2
,113,Nigeria,NGA,1987-11-01,4249,0.193,0.182,0.193,0,0,0,0,0,0,1,0,1,0,2
,114,Nigeria,NGA,1988-01-01,1213,0.415,0.177,0.415,0,0,0,0,0,0,1,0,0,0,3
,115,Nigeria,NGA,1989-06-01,5829,0.301,0.2,0.408,0,0,0,0,0,0,0,1,0,0,2
,116,Nigeria,NGA,1991-12-01,5883,0.401,0.183,0.623,0.345742,0,1,0,1,0,0,1,0,0,2
,118,Pakistan (Bond debt),PAK,1999-12-01,610,0.2486,0.146,0.143,0,1,0,0,0,0,0,0,0,0,5
,119,Panama,PAN,1985-10-01,579,0.12,0.138,0.138,0,0,0,0,0,0,0,0,1,1,2
,120,Panama,PAN,1994-08-01,452,0.151,0.127,0.151,0,1,0,0,0,0,1,0,0,0,4
,121,Panama,PAN,1996-04-01,3936,0.349,0.117,0.413,0.0067454,0,1,0,1,0,0,1,0,0,3
,122,Paraguay,PRY,1993-07-01,20,0.292,0.117,0.292,0,0,0,1,0,0,1,0,0,0,3
yes,123,Peru,PER,1978-12-01,200,-0.071880089,0.113096349,-0.09409044,0,0,0,0,0,0,0,0,0,0,2
,124,Peru,PER,1980-01-01,340,-0.046,0.122,-0.075,0,0,0,0,0,0,0,1,0,0,3
,125,Peru,PER,1983-07-01,380,0.063,0.153,0.063,0,0,0,0,0,0,1,0,1,1,2
,126,Peru,PER,1997-03-01,10600,0.639,0.102,0.639,0.3416981,0,1,0,1,0,1,0,0,0,3
,127,Philippines,PHL,1986-04-01,3242,0.426,0.205,0.426,0,0,0,0,0,0,1,0,0,1,2
,128,Philippines,PHL,1987-12-01,9690,0.154,0.163,0.286,0,0,0,0,0,0,0,1,0,1,2
,129,Philippines,PHL,1990-02-01,2120,0.428,0.181,0.459,0.2365724,0,1,0,0,0,0,1,1,0,3
,130,Philippines,PHL,1992-12-01,4471,0.254,0.136,0.437,0.1315054,0,1,0,1,0,0,1,1,0,3
,132,Poland,POL,1982-11-01,2225,0.779626,0.392,0.629,0,0,0,0,0,0,1,0,0,0,3
,133,Poland,POL,1983-11-01,1192,0.525,0.334,0.525,0,0,0,0,0,0,1,0,0,0,2
,134,Poland,POL,1984-07-01,1390,0.269,0.279,0.389,0,0,0,0,0,0,0,0,0,0,2
,135,Poland,POL,1986-09-01,1970,0.375,0.234,0.415,0,0,0,0,0,0,0,1,0,0,2
,136,Poland,POL,1988-07-01,8441,0.244,0.204,0.384,0,0,0,0,0,0,0,1,0,0,2
,137,Poland,POL,1989-07-01,206,0.12,0.202,0.142,0,0,0,0,0,0,0,1,0,0,2
,138,Poland,POL,1994-10-01,13531,0.49,0.114,0.527,0.3190987,0,1,0,1,0,0,1,1,1,3
,139,Romania,ROU,1982-12-01,1598,0.329,0.237,0.329,0,0,0,0,0,0,1,0,0,1,3
,140,Romania,ROU,1983-06-01,567,0.317,0.252,0.317,0,0,0,0,0,0,1,0,0,0,2
,141,Romania,ROU,1986-09-01,800,0.123,0.13,0.141,0,0,0,0,0,0,0,1,0,0,2
,142,Russian Federation,RUS,1997-12-01,30500,0.262,0.108,0.262,0,0,0,0,0,0,1,0,0,0,4
,143,"Russia (GKOs, non-resid.)",RUS,1999-05-01,4932.9865,0.46,SZ rate,0.431,0.21,1,1,0,0,0,0,0,0,0,5
,145,Russia (PRINs & IANs),RUS,2000-08-01,31942.941,0.76138,0.125,0.624,0.3644038,1,1,0,0,0,0,1,0,0,5
,146,Sao Tome and Principe,STP,1994-08-01,10.1,0.9,none (buy back),0.9,0.9,0,1,1,0,1,1,0,0,0,3
,147,Senegal,SEN,1984-02-01,77.3,0.288,0.239,0.288,0,0,0,0,0,0,1,0,0,0,2
,148,Senegal,SEN,1985-05-01,20,0.313,0.243,0.351,0,0,0,0,0,0,0,0,0,0,3
,149,Senegal,SEN,1990-09-01,37,0.357,0.27,0.357,0,0,0,0,0,0,1,0,0,0,3
,150,Senegal,SEN,1996-12-01,80,0.92,none (buy back),0.92,0.92,0,1,1,0,1,1,0,0,0,2
,151,Serbia and Montenegro,SRB,2004-07-01,2700,0.709,0.097,0.732,0.5925926,0,1,0,0,0,0,1,0,0,3
,152,Seychelles,SYC,2010-02-01,320,0.562,0.107,0.569,0.5,1,1,0,0,0,0,0,0,0,3
,153,Sierra Leone,SLE,1995-08-01,234.7,0.886,none (buy back),0.886,0.8858287,0,1,1,0,1,1,0,0,0,2
,154,Slovenia,SVN,1996-03-01,812,0.033,0.104,0.133,0,0,0,0,0,0,0,1,0,0,3
,155,South Africa,ZAF,1987-03-01,10900,0.085,0.116,0.085,0,0,0,0,0,0,1,1,0,1,3
,156,South Africa,ZAF,1989-10-01,7500,0.127,0.137,0.127,0,0,0,0,0,0,1,1,0,0,3
,157,South Africa,ZAF,1993-09-01,5000,0.22,0.098,0.22,0,0,0,0,0,0,1,1,0,1,4
yes,158,St. Kitts and Nevis,KNA,2012-02-01,146.71,0.62875,0.07883,0.6214,0.3175,1,1,0,0,0,0,0,0,0,5
,159,Sudan,SDN,1985-10-01,920,0.546,0.336,0.546,0,0,0,0,0,0,1,1,0,1,3
,160,Tanzania,TZA,2004-01-01,155.8,0.88,none (buy back),0.88,0.88,0,1,1,0,1,1,0,0,0,2
,161,Togo,TGO,1988-05-01,49,0.46,0.263,0.46,0,0,0,0,0,0,1,0,0,0,3
,162,Togo,TGO,1997-12-01,75,0.923,none (buy back),0.923,0.9231667,0,1,1,0,1,1,0,0,0,3
,163,Trinidad and Tobago,TTO,1989-12-01,446,0.155,0.141,0.196,0,0,0,0,0,0,0,1,0,0,3
,165,Turkey,TUR,1979-08-01,2269,0.37371,0.191,0.195,0,0,0,0,0,0,1,0,0,1,3
,166,Turkey,TUR,1981-08-01,100,0.086,0.258,0.086,0,0,0,0,0,0,1,0,0,0,3
,167,Turkey,TUR,1982-03-01,2269,0.17,0.274,0.329,0,0,0,0,0,0,0,1,0,0,3
,168,Uganda,UGA,1993-02-01,153,0.88,0.166,0.88,0.88,0,1,1,0,1,1,0,0,0,3
,170,Ukraine (Chase loan),UKR,1998-10-01,109,0.247654,0.143,0.147,0,0,0,0,0,0,1,0,0,0,5
,171,Ukraine (ING loan),UKR,1999-08-01,163,-0.083,0.142,-0.083,0.057,0,1,0,0,0,1,0,0,0,5
,172,Ukraine (Global Exchange),UKR,2000-04-01,1598.2586,0.18,0.163,0.168,0.008717,1,1,0,0,0,0,0,0,0,5
,173,Uruguay,URY,1983-07-01,575,0.007,0.137,0.005,0,0,0,0,0,0,0,0,1,1,3
,174,Uruguay,URY,1986-07-01,1958,0.243,0.15,0.296,0,0,0,0,0,0,0,1,0,0,4
,175,Uruguay,URY,1988-03-01,1770,0.203,0.14,0.221,0,0,0,0,0,0,0,1,0,0,3
,176,Uruguay,URY,1991-01-01,1610,0.263,0.167,0.472,0.1639317,0,1,0,1,0,0,1,1,0,4
,177,Uruguay,URY,2003-05-01,3126.7,0.098,0.09,0.088,0,1,0,0,0,0,0,1,0,0,5
,178,Venezuela,VEN,1986-02-01,20307,0.099,0.123,0.126,0,0,0,0,0,0,0,0,0,1,2
,179,Venezuela,VEN,1987-09-18,20338,0.043,0.124,0.068,0,0,0,0,0,0,0,1,0,0,3
,180,Venezuela,VEN,1990-12-01,19585,0.367,0.166,0.528,0.0679653,0,1,0,1,0,0,1,1,0,4
,181,Vietnam,VNM,1997-12-01,782.1,0.52,0.095,0.52,0.2608771,0,1,0,1,0,1,0,0,0,3
,182,"Yemen, Republic of",YEM,2001-02-01,607,0.97,none (buy back),0.97,0.97,0,1,1,0,1,1,0,0,0,2
,183,Yugoslavia,YUG,1983-09-01,950,0.065,0.147,0.065,0,0,0,0,0,0,1,0,1,1,2
,184,Yugoslavia,YUG,1984-05-01,1250,-0.075,0.147,-0.075,0,0,0,0,0,0,1,0,0,0,2
,185,Yugoslavia,YUG,1985-12-01,3600,0.145,0.145,0.185,0,0,0,0,0,0,0,1,0,0,3
,186,Yugoslavia,YUG,1988-09-01,6895,0.197,0.143,0.221,0,0,0,0,0,0,0,1,1,0,2
,187,Zambia,ZMB,1994-09-01,570,0.89,none (buy back),0.89,0.89,0,1,1,0,1,1,0,0,0,2
